Interaction_Name,Dependent_Variable,Independent_Variable,Moderator,Moderator_Column,N_Observations,Interaction_Beta,Interaction_P_Value,Interaction_CI_Lower,Interaction_CI_Upper,Adj_R_Squared
iv3_health_behaviors_x_mo1_1_ai_automate_tasks_on_dv2_health_outcomes,dv2_health_outcomes,iv3_health_behaviors,mo1.1_ai_automate_tasks,pct_wfaiart_enabled_beds,3135.0000,-0.1810,0.0000,-0.2677,-0.0942,0.7038
iv3_health_behaviors_x_mo1_2_ai_optimize_workflows_on_dv2_health_outcomes,dv2_health_outcomes,iv3_health_behaviors,mo1.2_ai_optimize_workflows,pct_wfaioacw_enabled_beds,3135.0000,-0.1806,0.0000,-0.2573,-0.1038,0.7040
iv3_health_behaviors_x_mo1_3_ai_predict_demand_on_dv2_health_outcomes,dv2_health_outcomes,iv3_health_behaviors,mo1.3_ai_predict_demand,pct_wfaippd_enabled_beds,3135.0000,-0.1621,0.0003,-0.2497,-0.0744,0.7030
iv3_health_behaviors_x_mo1_4_ai_predict_staff_on_dv2_health_outcomes,dv2_health_outcomes,iv3_health_behaviors,mo1.4_ai_predict_staff,pct_wfaipsn_enabled_beds,3135.0000,-0.1437,0.0028,-0.2378,-0.0496,0.7025
iv3_health_behaviors_x_mo1_5_ai_staff_schedule_on_dv2_health_outcomes,dv2_health_outcomes,iv3_health_behaviors,mo1.5_ai_staff_schedule,pct_wfaiss_enabled_beds,3135.0000,-0.1414,0.0042,-0.2381,-0.0447,0.7025
iv3_health_behaviors_x_mo2_1_robotics_in_hospital_on_dv2_health_outcomes,dv2_health_outcomes,iv3_health_behaviors,mo2.1_robotics_in_hospital,pct_robohos_enabled_beds,3135.0000,-0.0813,0.0010,-0.1297,-0.0328,0.7045
iv3_health_behaviors_x_mo1_1_ai_automate_tasks_on_dv1_clinical_care,dv1_clinical_care,iv3_health_behaviors,mo1.1_ai_automate_tasks,pct_wfaiart_enabled_beds,3135.0000,-0.0114,0.6353,-0.0584,0.0356,0.2611
iv3_health_behaviors_x_mo1_2_ai_optimize_workflows_on_dv1_clinical_care,dv1_clinical_care,iv3_health_behaviors,mo1.2_ai_optimize_workflows,pct_wfaioacw_enabled_beds,3135.0000,-0.0115,0.5886,-0.0531,0.0301,0.2608
iv3_health_behaviors_x_mo1_3_ai_predict_demand_on_dv1_clinical_care,dv1_clinical_care,iv3_health_behaviors,mo1.3_ai_predict_demand,pct_wfaippd_enabled_beds,3135.0000,-0.0037,0.8777,-0.0513,0.0438,0.2576
iv3_health_behaviors_x_mo1_4_ai_predict_staff_on_dv1_clinical_care,dv1_clinical_care,iv3_health_behaviors,mo1.4_ai_predict_staff,pct_wfaipsn_enabled_beds,3135.0000,-0.0177,0.4966,-0.0687,0.0333,0.2571
iv3_health_behaviors_x_mo1_5_ai_staff_schedule_on_dv1_clinical_care,dv1_clinical_care,iv3_health_behaviors,mo1.5_ai_staff_schedule,pct_wfaiss_enabled_beds,3135.0000,-0.0417,0.1187,-0.0941,0.0107,0.2581
iv3_health_behaviors_x_mo2_1_robotics_in_hospital_on_dv1_clinical_care,dv1_clinical_care,iv3_health_behaviors,mo2.1_robotics_in_hospital,pct_robohos_enabled_beds,3135.0000,-0.0239,0.0711,-0.0499,0.0021,0.2792
