county_fips,num_hotspot_hospitals_in_range,state_fips,county_name
09190,1,09,Western Connecticut
10003,1,10,New Castle
11001,1,11,District of Columbia
12049,1,12,Hardee
12053,2,12,Hernando
12057,2,12,Hillsborough
12069,1,12,Lake
12081,2,12,Manatee
12095,1,12,Orange
12097,1,12,Osceola
12101,2,12,Pasco
12103,1,12,Pinellas
12105,1,12,Polk
12119,1,12,Sumter
17031,2,17,Cook
17037,1,17,DeKalb
17043,2,17,DuPage
17063,2,17,Grundy
17085,1,17,Jo Daviess
17089,2,17,Kane
17093,2,17,Kendall
17097,2,17,Lake
17099,1,17,LaSalle
17111,2,17,McHenry
17197,2,17,Will
18019,1,18,Clark
18025,1,18,Crawford
18043,1,18,Floyd
18061,1,18,Harrison
18077,1,18,Jefferson
18089,1,18,Lake
18143,1,18,Scott
18175,1,18,Washington
19019,1,19,Buchanan
19043,1,19,Clayton
19055,1,19,Delaware
19061,1,19,Dubuque
19065,1,19,Fayette
19097,1,19,Jackson
19105,1,19,Jones
19113,1,19,Linn
21029,1,21,Bullitt
21093,1,21,Hardin
21103,1,21,Henry
21111,1,21,Jefferson
21163,1,21,Meade
21179,1,21,Nelson
21185,1,21,Oldham
21211,1,21,Shelby
21215,1,21,Spencer
21223,1,21,Trimble
24003,1,24,Anne Arundel
24005,1,24,Baltimore
24013,1,24,Carroll
24021,1,24,Frederick
24025,1,24,Harford
24027,1,24,Howard
24031,1,24,Montgomery
24033,1,24,Prince George's
24510,1,24,Baltimore
27003,1,27,Anoka
27019,1,27,Carver
27025,1,27,Chisago
27037,1,27,Dakota
27049,1,27,Goodhue
27053,1,27,Hennepin
27079,1,27,Le Sueur
27123,1,27,Ramsey
27131,1,27,Rice
27139,1,27,Scott
27141,1,27,Sherburne
27163,1,27,Washington
27171,1,27,Wright
34001,1,34,Atlantic
34003,2,34,Bergen
34005,2,34,Burlington
34007,1,34,Camden
34011,1,34,Cumberland
34013,2,34,Essex
34015,1,34,Gloucester
34017,2,34,Hudson
34019,1,34,Hunterdon
34021,2,34,Mercer
34023,2,34,Middlesex
34025,2,34,Monmouth
34027,2,34,Morris
34029,1,34,Ocean
34031,2,34,Passaic
34033,1,34,Salem
34035,2,34,Somerset
34039,2,34,Union
34041,1,34,Warren
36005,1,36,Bronx
36047,2,36,Kings
36059,1,36,Nassau
36061,2,36,New York
36081,2,36,Queens
36085,2,36,Richmond
36087,1,36,Rockland
36103,1,36,Suffolk
36119,1,36,Westchester
39005,1,39,Ashland
39007,1,39,Ashtabula
39035,3,39,Cuyahoga
39043,1,39,Erie
39055,3,39,Geauga
39077,1,39,Huron
39085,3,39,Lake
39093,3,39,Lorain
39103,3,39,Medina
39133,3,39,Portage
39153,3,39,Summit
39155,1,39,Trumbull
39169,1,39,Wayne
40037,1,40,Creek
40097,1,40,Mayes
40101,1,40,Muskogee
40111,1,40,Okmulgee
40113,1,40,Osage
40117,1,40,Pawnee
40131,1,40,Rogers
40143,1,40,Tulsa
40145,1,40,Wagoner
40147,1,40,Washington
41005,1,41,Clackamas
41009,1,41,Columbia
41047,1,41,Marion
41051,1,41,Multnomah
41067,1,41,Washington
41071,1,41,Yamhill
42001,1,42,Adams
42017,2,42,Bucks
42029,1,42,Chester
42045,1,42,Delaware
42091,1,42,Montgomery
42101,1,42,Philadelphia
42133,1,42,York
48085,2,48,Collin
48113,2,48,Dallas
48121,2,48,Denton
48139,2,48,Ellis
48251,2,48,Johnson
48257,1,48,Kaufman
48367,1,48,Parker
48397,1,48,Rockwall
48439,2,48,Tarrant
48497,1,48,Wise
51059,1,51,Fairfax
51107,1,51,Loudoun
53011,1,53,Clark
53015,1,53,Cowlitz
53033,1,53,King
53035,1,53,Kitsap
53045,1,53,Mason
53053,1,53,Pierce
53059,1,53,Skamania
53067,1,53,Thurston
55043,1,55,Grant
55093,1,55,Pierce
55109,1,55,St. Croix
