DV,IV,Moderator,Transform,Term,Coefficient,StdErr,t-value,p-value,N_Obs,R_Squared,Adj_R_Squared,f_squared,f_squared_interp,Centering_Used,Path
dv1_healthcare_access,iv1_public_health_policy,mo1_genai_capabilities,raw,const,946.729604,64.411131,14.698230,0.000000,2109,0.246015,0.241698,0.000338,Negligible effect,True,iv1_public_health_policy_x_mo1_genai_capabilities_to_dv1_healthcare_access
dv1_healthcare_access,iv1_public_health_policy,mo1_genai_capabilities,raw,iv1_public_health_policy,-13.312746,21.573954,-0.617075,0.537252,2109,0.246015,0.241698,0.000338,Negligible effect,True,iv1_public_health_policy_x_mo1_genai_capabilities_to_dv1_healthcare_access
dv1_healthcare_access,iv1_public_health_policy,mo1_genai_capabilities,raw,mo1_genai_capabilities_centered,-20.885825,14.681310,-1.422613,0.154997,2109,0.246015,0.241698,0.000338,Negligible effect,True,iv1_public_health_policy_x_mo1_genai_capabilities_to_dv1_healthcare_access
dv1_healthcare_access,iv1_public_health_policy,mo1_genai_capabilities,raw,iv1_public_health_policy_x_mo1_genai_capabilities,-16.243422,19.309155,-0.841229,0.400316,2109,0.246015,0.241698,0.000338,Negligible effect,True,iv1_public_health_policy_x_mo1_genai_capabilities_to_dv1_healthcare_access
dv1_healthcare_access,iv1_public_health_policy,mo1_genai_capabilities,raw,population,-0.000126,0.000024,-5.285490,0.000000,2109,0.246015,0.241698,0.000338,Negligible effect,True,iv1_public_health_policy_x_mo1_genai_capabilities_to_dv1_healthcare_access
dv1_healthcare_access,iv1_public_health_policy,mo1_genai_capabilities,raw,div_2,238.551084,71.547203,3.334178,0.000870,2109,0.246015,0.241698,0.000338,Negligible effect,True,iv1_public_health_policy_x_mo1_genai_capabilities_to_dv1_healthcare_access
dv1_healthcare_access,iv1_public_health_policy,mo1_genai_capabilities,raw,div_3,415.802352,66.390069,6.263020,0.000000,2109,0.246015,0.241698,0.000338,Negligible effect,True,iv1_public_health_policy_x_mo1_genai_capabilities_to_dv1_healthcare_access
dv1_healthcare_access,iv1_public_health_policy,mo1_genai_capabilities,raw,div_4,309.429804,65.048101,4.756938,0.000002,2109,0.246015,0.241698,0.000338,Negligible effect,True,iv1_public_health_policy_x_mo1_genai_capabilities_to_dv1_healthcare_access
dv1_healthcare_access,iv1_public_health_policy,mo1_genai_capabilities,raw,div_5,668.336362,68.168376,9.804200,0.000000,2109,0.246015,0.241698,0.000338,Negligible effect,True,iv1_public_health_policy_x_mo1_genai_capabilities_to_dv1_healthcare_access
dv1_healthcare_access,iv1_public_health_policy,mo1_genai_capabilities,raw,div_6,215.561321,65.335798,3.299283,0.000986,2109,0.246015,0.241698,0.000338,Negligible effect,True,iv1_public_health_policy_x_mo1_genai_capabilities_to_dv1_healthcare_access
dv1_healthcare_access,iv1_public_health_policy,mo1_genai_capabilities,raw,div_7,571.589972,66.750255,8.563113,0.000000,2109,0.246015,0.241698,0.000338,Negligible effect,True,iv1_public_health_policy_x_mo1_genai_capabilities_to_dv1_healthcare_access
dv1_healthcare_access,iv1_public_health_policy,mo1_genai_capabilities,raw,div_8,-28.418954,68.188664,-0.416769,0.676890,2109,0.246015,0.241698,0.000338,Negligible effect,True,iv1_public_health_policy_x_mo1_genai_capabilities_to_dv1_healthcare_access
dv1_healthcare_access,iv1_public_health_policy,mo1_genai_capabilities,raw,div_9,-65.049716,71.357609,-0.911602,0.362083,2109,0.246015,0.241698,0.000338,Negligible effect,True,iv1_public_health_policy_x_mo1_genai_capabilities_to_dv1_healthcare_access
dv1_healthcare_access,iv1_public_health_policy,mo1_genai_capabilities,zscore,const,-0.627323,0.126879,-4.944243,0.000001,2109,0.246015,0.241698,0.000338,Negligible effect,True,iv1_public_health_policy_x_mo1_genai_capabilities_to_dv1_healthcare_access
dv1_healthcare_access,iv1_public_health_policy,mo1_genai_capabilities,zscore,iv1_public_health_policy_z,-0.013707,0.022213,-0.617075,0.537252,2109,0.246015,0.241698,0.000338,Negligible effect,True,iv1_public_health_policy_x_mo1_genai_capabilities_to_dv1_healthcare_access
dv1_healthcare_access,iv1_public_health_policy,mo1_genai_capabilities,zscore,mo1_genai_capabilities_z_centered,-0.059581,0.019430,-3.066476,0.002194,2109,0.246015,0.241698,0.000338,Negligible effect,True,iv1_public_health_policy_x_mo1_genai_capabilities_to_dv1_healthcare_access
dv1_healthcare_access,iv1_public_health_policy,mo1_genai_capabilities,zscore,iv1_public_health_policy_z_x_mo1_genai_capabilities_z,-0.016390,0.019483,-0.841229,0.400316,2109,0.246015,0.241698,0.000338,Negligible effect,True,iv1_public_health_policy_x_mo1_genai_capabilities_to_dv1_healthcare_access
dv1_healthcare_access,iv1_public_health_policy,mo1_genai_capabilities,zscore,population,-0.000000,0.000000,-5.285490,0.000000,2109,0.246015,0.241698,0.000338,Negligible effect,True,iv1_public_health_policy_x_mo1_genai_capabilities_to_dv1_healthcare_access
dv1_healthcare_access,iv1_public_health_policy,mo1_genai_capabilities,zscore,div_2,0.491945,0.147546,3.334178,0.000870,2109,0.246015,0.241698,0.000338,Negligible effect,True,iv1_public_health_policy_x_mo1_genai_capabilities_to_dv1_healthcare_access
dv1_healthcare_access,iv1_public_health_policy,mo1_genai_capabilities,zscore,div_3,0.857476,0.136911,6.263020,0.000000,2109,0.246015,0.241698,0.000338,Negligible effect,True,iv1_public_health_policy_x_mo1_genai_capabilities_to_dv1_healthcare_access
dv1_healthcare_access,iv1_public_health_policy,mo1_genai_capabilities,zscore,div_4,0.638112,0.134143,4.756938,0.000002,2109,0.246015,0.241698,0.000338,Negligible effect,True,iv1_public_health_policy_x_mo1_genai_capabilities_to_dv1_healthcare_access
dv1_healthcare_access,iv1_public_health_policy,mo1_genai_capabilities,zscore,div_5,1.378256,0.140578,9.804200,0.000000,2109,0.246015,0.241698,0.000338,Negligible effect,True,iv1_public_health_policy_x_mo1_genai_capabilities_to_dv1_healthcare_access
dv1_healthcare_access,iv1_public_health_policy,mo1_genai_capabilities,zscore,div_6,0.444535,0.134737,3.299283,0.000986,2109,0.246015,0.241698,0.000338,Negligible effect,True,iv1_public_health_policy_x_mo1_genai_capabilities_to_dv1_healthcare_access
dv1_healthcare_access,iv1_public_health_policy,mo1_genai_capabilities,zscore,div_7,1.178744,0.137654,8.563113,0.000000,2109,0.246015,0.241698,0.000338,Negligible effect,True,iv1_public_health_policy_x_mo1_genai_capabilities_to_dv1_healthcare_access
dv1_healthcare_access,iv1_public_health_policy,mo1_genai_capabilities,zscore,div_8,-0.058606,0.140620,-0.416769,0.676890,2109,0.246015,0.241698,0.000338,Negligible effect,True,iv1_public_health_policy_x_mo1_genai_capabilities_to_dv1_healthcare_access
dv1_healthcare_access,iv1_public_health_policy,mo1_genai_capabilities,zscore,div_9,-0.134147,0.147155,-0.911602,0.362083,2109,0.246015,0.241698,0.000338,Negligible effect,True,iv1_public_health_policy_x_mo1_genai_capabilities_to_dv1_healthcare_access
dv1_healthcare_access,iv1_public_health_policy,mo1_genai_capabilities,log,const,6.831692,0.051389,132.941913,0.000000,2109,0.265315,0.261109,0.000215,Negligible effect,True,iv1_public_health_policy_x_mo1_genai_capabilities_to_dv1_healthcare_access
dv1_healthcare_access,iv1_public_health_policy,mo1_genai_capabilities,log,iv1_public_health_policy_log,-0.023080,0.024842,-0.929108,0.352940,2109,0.265315,0.261109,0.000215,Negligible effect,True,iv1_public_health_policy_x_mo1_genai_capabilities_to_dv1_healthcare_access
dv1_healthcare_access,iv1_public_health_policy,mo1_genai_capabilities,log,mo1_genai_capabilities_log_centered,-0.051918,0.026793,-1.937768,0.052786,2109,0.265315,0.261109,0.000215,Negligible effect,True,iv1_public_health_policy_x_mo1_genai_capabilities_to_dv1_healthcare_access
