dv,ai_var1,ai_var2,beta_interaction,p_value,ci_low,ci_high,n_obs,fit_error
premature_death_raw_value,MO12,MO15,-0.13981011464930929,0.0123614154226666,-0.2493466965527661,-0.030273532745852497,3080,0
premature_death_raw_value,MO13,MO15,-0.13825439326763284,0.020937596938073896,-0.255604317313483,-0.020904469221782657,3080,0
premature_death_raw_value,MO13,MO14,-0.1015406261315389,0.05227572787996953,-0.20408092518316218,0.000999672920084363,3080,0
premature_death_raw_value,MO12,MO14,-0.08249150694112459,0.18592685343296855,-0.2047243105551565,0.039741296672907336,3080,0
premature_death_raw_value,MO14,MO15,-0.06421414512188128,0.31366045258142716,-0.1891258492517875,0.060697559008024926,3080,0
premature_death_raw_value,MO11,MO12,-0.07671608944247156,0.3456246504111552,-0.2361468824380869,0.0827147035531438,3080,0
premature_death_raw_value,MO12,MO13,-0.03770695391265347,0.5407646067868849,-0.1585332527736008,0.08311934494829386,3080,0
premature_death_raw_value,MO11,MO13,0.028602409781615226,0.613296258775374,-0.08232475703029894,0.13952957659352938,3080,0
premature_death_raw_value,MO11,MO15,0.003843553907385,0.935707019975203,-0.08954352185372094,0.09723062966849094,3080,0
premature_death_raw_value,MO11,MO14,-0.0001230164174723103,0.9979950085662498,-0.09607152957359509,0.09582549673865047,3080,0
