feature,stability_freq,mean_sign,rf_importance_mean,stable_core_flag
social_associations_numerator,1.0,1.0,0.021653289661461336,1
driving_alone_to_work_numerator,1.0,1.0,0.012368437320693421,1
child_care_centers_denominator,1.0,1.0,0.007725357069708219,1
primary_care_physicians_raw_value,1.0,1.0,0.006700315429970049,1
rural_raw_value,1.0,-1.0,0.006039120095236187,1
ratio_of_population_to_primary_care_physicians,1.0,-1.0,0.006036435295828503,1
children_in_single_parent_households_denominator,1.0,1.0,0.005079992021976816,1
long_commute_driving_alone_ci_high,1.0,-1.0,0.005040351580398258,1
uninsured_children_denominator,1.0,1.0,0.005018855597003906,1
other_primary_care_providers_raw_value,1.0,1.0,0.004736315397039559,1
ratio_of_population_to_dentists,1.0,-1.0,0.0046965205729493234,1
ratio_of_population_to_primary_care_providers_other_than_physic,1.0,-1.0,0.0046411722985555005,1
non_hispanic_white_numerator,1.0,1.0,0.004229028673694668,1
below_18_years_of_age_numerator,1.0,1.0,0.004103683228718523,1
ratio_of_population_to_mental_health_providers,1.0,-1.0,0.0029828981129075027,1
driving_alone_to_work_ci_low_white,1.0,1.0,0.0021463450878646496,1
rural_numerator,1.0,1.0,0.0020651873773975035,1
alcohol_impaired_driving_deaths_ci_high,1.0,-1.0,0.0016882604146643465,1
uninsured_children_numerator,1.0,1.0,0.0016541816614449067,1
percentage_of_households_with_high_housing_costs_ci_low,1.0,1.0,0.0014722125459226802,1
low_birthweight_ci_low,1.0,1.0,0.001453481145912427,1
children_in_poverty_ci_high_white,1.0,-1.0,0.0014477624550114142,1
children_eligible_for_free_or_reduced_price_lunch_denominator,1.0,1.0,0.0013811026502611587,1
low_birthweight_ci_low_white,1.0,1.0,0.001360536047579588,1
motor_vehicle_crash_deaths_numerator,1.0,1.0,0.0012063388187989888,1
premature_death_ci_high,1.0,-1.0,0.0011959320485905717,1
alcohol_impaired_driving_deaths_denominator,1.0,1.0,0.0011726356813933582,1
premature_age_adjusted_mortality_ci_high,1.0,-1.0,0.0009966652264871013,1
alcohol_impaired_driving_deaths_numerator,1.0,1.0,0.0009150040501197992,1
unemployment_denominator,0.9933333333333333,0.9933333333333333,0.01362911039855829,1
long_commute_driving_alone_raw_value,0.9933333333333333,-0.9933333333333333,0.004679312484664891,1
homeownership_numerator,0.9933333333333333,0.9933333333333333,0.0032352992013222853,1
census_participation_raw_value,0.9933333333333333,0.9933333333333333,0.0018710714883495175,1
injury_deaths_ci_high,0.9933333333333333,-0.9933333333333333,0.0014794558739573782,1
low_birthweight_denominator,0.9866666666666667,0.9866666666666667,0.005727051356060919,1
injury_deaths_ci_high_white,0.9866666666666667,-0.9866666666666667,0.0016198164783028104,1
premature_death_flag_aian_no_flag_1_unreliable_2_suppressed,0.9866666666666667,-0.9866666666666667,4.7674188614928775e-05,1
premature_death_ci_high_white,0.98,-0.98,0.0012513034821597694,1
premature_age_adjusted_mortality_ci_high_white,0.98,-0.98,0.0010845325979860546,1
uninsured_denominator,0.9733333333333334,0.9733333333333334,0.007879375372003979,1
dentists_raw_value,0.9733333333333334,0.9733333333333334,0.005411341756466137,1
juvenile_arrests_denominator,0.9733333333333334,0.9733333333333334,0.001173010324448573,1
div_2,0.9733333333333334,-0.9733333333333334,0.00012805409659080022,1
other_primary_care_providers_numerator,0.9666666666666667,0.9666666666666667,0.03215530695104159,1
long_commute_driving_alone_denominator,0.9666666666666667,0.9666666666666667,0.012157445793379549,1
driving_alone_to_work_denominator,0.9666666666666667,0.9666666666666667,0.012078594432333122,1
teen_births_ci_high_white,0.9666666666666667,-0.9666666666666667,0.0016187468386680093,1
severe_housing_cost_burden_ci_low,0.9666666666666667,0.9666666666666667,0.0014628559925052712,1
low_birthweight_ci_high_white,0.9666666666666667,-0.9666666666666667,0.0014407315863337335,1
premature_death_flag_0_no_flag_1_unreliable_2_suppressed,0.9666666666666667,-0.9666666666666667,2.278565332679289e-06,1
traffic_volume_raw_value,0.96,0.96,0.009830053786150447,1
female_numerator,0.96,0.96,0.006883442878176689,1
