change_type,author,datetime,chapter_h1,snippet,words,dt
Deletion,Aaron Johnson,2025-04-19T23:44:00Z,– Introduction to the Problem,d,1,2025-04-19 23:44:00+00:00
Deletion,Aaron Johnson,2025-04-19T23:49:00Z,– Introduction to the Problem,“,1,2025-04-19 23:49:00+00:00
Deletion,Aaron Johnson,2025-04-19T23:50:00Z,– Introduction to the Problem,”,1,2025-04-19 23:50:00+00:00
Deletion,Aaron Johnson,2025-04-19T23:50:00Z,– Introduction to the Problem,”,1,2025-04-19 23:50:00+00:00
Insertion,Aaron Johnson,2025-04-19T23:56:00Z,– Literature Review,for this dissertation,3,2025-04-19 23:56:00+00:00
Deletion,Aaron Johnson,2025-04-19T23:56:00Z,– Literature Review,insurance claims data,3,2025-04-19 23:56:00+00:00
Insertion,Aaron Johnson,2025-04-19T23:57:00Z,– Literature Review,– a,2,2025-04-19 23:57:00+00:00
Deletion,Aaron Johnson,2025-04-19T23:57:00Z,– Literature Review,-,1,2025-04-19 23:57:00+00:00
Deletion,Aaron Johnson,2025-04-19T23:57:00Z,– Literature Review,a,1,2025-04-19 23:57:00+00:00
Insertion,Aaron Johnson,2025-04-19T23:58:00Z,– Data & Methods,–,1,2025-04-19 23:58:00+00:00
Insertion,Aaron Johnson,2025-04-19T23:59:00Z,– Data & Methods,Data & Methods,3,2025-04-19 23:59:00+00:00
Insertion,Aaron Johnson,2025-04-20T00:04:00Z,– Data & Methods,Research Design,2,2025-04-20 00:04:00+00:00
Insertion,Aaron Johnson,2025-04-20T00:07:00Z,– Data & Methods,Limitations,1,2025-04-20 00:07:00+00:00
Insertion,Aaron Johnson,2025-04-20T00:09:00Z,– Results & Findings,–,1,2025-04-20 00:09:00+00:00
Insertion,Aaron Johnson,2025-04-20T00:10:00Z,– Results & Findings,Results & Findings,3,2025-04-20 00:10:00+00:00
Insertion,Aaron Johnson,2025-04-20T00:10:00Z,– Results & Findings,Sample Description,2,2025-04-20 00:10:00+00:00
Insertion,Aaron Johnson,2025-04-20T00:13:00Z,– Results & Findings,Data Screening & Assumptions,4,2025-04-20 00:13:00+00:00
Insertion,Aaron Johnson,2025-04-20T00:13:00Z,– Results & Findings,Main Analyses,2,2025-04-20 00:13:00+00:00
Insertion,Aaron Johnson,2025-04-20T00:15:00Z,"– Discussion, Conclusions, and Recommendations",–,1,2025-04-20 00:15:00+00:00
Insertion,Aaron Johnson,2025-04-20T00:16:00Z,"– Discussion, Conclusions, and Recommendations","Discussion, Conclusions, and Recommendations",4,2025-04-20 00:16:00+00:00
Insertion,Aaron Johnson,2025-04-20T00:18:00Z,"– Discussion, Conclusions, and Recommendations",Limitations Revisited,2,2025-04-20 00:18:00+00:00
Insertion,Aaron Johnson,2025-04-20T00:18:00Z,"– Discussion, Conclusions, and Recommendations",Recommendations for Future Research,4,2025-04-20 00:18:00+00:00
Insertion,Aaron Johnson,2025-04-20T00:18:00Z,"– Discussion, Conclusions, and Recommendations",Concluding Statement,2,2025-04-20 00:18:00+00:00
Insertion,Aaron Johnson,2025-04-20T00:25:00Z,– Literature Review,Imagine a small critical-access hospital in rural Nebraska. It’s,9,2025-04-20 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-20T00:25:00Z,– Literature Review,", the lone on-duty",4,2025-04-20 00:25:00+00:00
Deletion,Aaron Johnson,2025-04-20T00:25:00Z,– Literature Review,"Add your text here and indent the first line of all new paragraphs. All text is double spaced. All text and hyperlinks must be the same font, same font size (10-12pt), and in black colored text. All t",61,2025-04-20 00:25:00+00:00
Insertion,Aaron Johnson,2025-04-20T00:26:00Z,– Literature Review,midnight,1,2025-04-20 00:26:00+00:00
Insertion,Aaron Johnson,2025-04-20T00:26:00Z,– Literature Review,"has just finished triaging a tractor-rollover victim, and the waiting room monitor still blinks with",15,2025-04-20 00:26:00+00:00
Insertion,Aaron Johnson,2025-04-20T00:27:00Z,– Literature Review,physician,1,2025-04-20 00:27:00+00:00
Insertion,Aaron Johnson,2025-04-20T00:27:00Z,– Literature Review,unread charts and messages. In a scene Eric J. Topol calls “medicine’s inbox overload”,14,2025-04-20 00:27:00+00:00
Insertion,Aaron Johnson,2025-04-20T00:28:00Z,– Literature Review,", every minute the doctor spends clicking through forms is a minute stolen",13,2025-04-20 00:28:00+00:00
Insertion,Aaron Johnson,2025-04-20T00:29:00Z,– Literature Review,"from the next patient’s bedside. Topol’s Deep Medicine (2019) envisions AI and robotics as the lever that can recapture those minutes – sifting scans at superhuman speed, automating doctor’s notes, ev",32,2025-04-20 00:29:00+00:00
Insertion,Aaron Johnson,2025-04-20T00:30:00Z,– Literature Review,"g meds across the ward – so clinicians can return to the more human work of reassurance, explanation, and touch.",20,2025-04-20 00:30:00+00:00
Insertion,Aaron Johnson,2025-04-20T00:30:00Z,– Literature Review,"However, the promise of the new technology that Topol describes is unevenly distributed",13,2025-04-20 00:30:00+00:00
Insertion,Aaron Johnson,2025-04-20T00:30:00Z,– Literature Review,hile flagship urban hospi,4,2025-04-20 00:30:00+00:00
Insertion,Aaron Johnson,2025-04-20T00:31:00Z,– Literature Review,"tals deploy AI radiology suites and autonomous surgical robots, rural facilities are still struggling with broadband dead zones and nursing vacancies",21,2025-04-20 00:31:00+00:00
Insertion,Aaron Johnson,2025-04-20T00:31:00Z,– Literature Review,.,1,2025-04-20 00:31:00+00:00
Deletion,Aaron Johnson,2025-04-20T00:33:00Z,(no H1 found yet),DISSERTATION APPROVAL PAGE iii,4,2025-04-20 00:33:00+00:00
Deletion,Aaron Johnson,2025-04-20T00:33:00Z,(no H1 found yet),DEDICATION (optional) iv,3,2025-04-20 00:33:00+00:00
Deletion,Aaron Johnson,2025-04-20T00:33:00Z,(no H1 found yet),TABLE OF CONTENTS v,4,2025-04-20 00:33:00+00:00
Deletion,Aaron Johnson,2025-04-20T00:33:00Z,(no H1 found yet),LIST OF FIGURES vi,4,2025-04-20 00:33:00+00:00
Deletion,Aaron Johnson,2025-04-20T00:33:00Z,(no H1 found yet),LIST OF TABLES vii,4,2025-04-20 00:33:00+00:00
