root,rel_path,file_name,ext,file_type,size_kb,created_utc,modified_utc,sha256,is_code
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,.DS_Store,.DS_Store,,binary,14.0,2024-12-26T04:21:43.371622+00:00,2025-08-09T07:00:02.344831+00:00,,False
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_results.xlsx,SQL_results.xlsx,.xlsx,excel,7.31,2025-01-08T03:33:02.222739+00:00,2025-01-08T03:33:02.225418+00:00,,False
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,results.numbers,results.numbers,.numbers,binary,313.35,2025-01-08T03:28:44.772471+00:00,2025-01-08T03:28:44.807094+00:00,,False
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,Research_GenerateScriptReport_20241130.html,Research_GenerateScriptReport_20241130.html,.html,binary,6.64,2024-12-05T21:36:37+00:00,2024-11-30T09:38:22+00:00,,False
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,results.xlsx,results.xlsx,.xlsx,excel,8.43,2025-01-08T03:29:59.506289+00:00,2025-01-08T03:29:59.510848+00:00,,False
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,React_Code/import React from 'react';.txt,import React from 'react';.txt,.txt,text,4.0,2024-12-23T07:07:27+00:00,2024-12-21T20:59:44+00:00,,False
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/Join_tblProviders_Facilities.sql,Join_tblProviders_Facilities.sql,.sql,sql,0.36,2024-12-05T21:36:37+00:00,2024-12-02T08:15:13+00:00,,True
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/MUA_Dummy_Variable.sql,MUA_Dummy_Variable.sql,.sql,sql,0.31,2024-12-07T02:49:32+00:00,2024-12-06T21:17:22+00:00,,True
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/DV1_Bad_Count.sql,DV1_Bad_Count.sql,.sql,sql,0.35,2025-04-26T07:09:15.525466+00:00,2025-04-26T07:09:15.525580+00:00,,True
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/Select_Into_New_Table.sql,Select_Into_New_Table.sql,.sql,sql,1.79,2024-12-05T21:36:37+00:00,2024-12-01T17:53:04+00:00,,True
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/CHQPR_Hospital_Margins.sql,CHQPR_Hospital_Margins.sql,.sql,sql,0.42,2025-02-18T05:21:59.285141+00:00,2025-02-18T05:26:02.813800+00:00,,True
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/CHR_Chunk_1_Equity.sql,CHR_Chunk_1_Equity.sql,.sql,sql,0.78,2025-02-08T19:02:28.729346+00:00,2025-02-08T19:02:28.729861+00:00,,True
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/Create_conceptual_view.sql,Create_conceptual_view.sql,.sql,sql,5.75,2025-03-01T05:20:57.273500+00:00,2025-03-01T05:20:57.273846+00:00,,True
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/PCP_to_Stays.sql,PCP_to_Stays.sql,.sql,sql,0.63,2025-01-26T09:00:27.837004+00:00,2025-01-26T09:02:17.173708+00:00,,True
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/Descriptive_Stats_Conceptual_Model.sql,Descriptive_Stats_Conceptual_Model.sql,.sql,sql,2.21,2025-04-25T06:50:30.048596+00:00,2025-04-25T06:50:30.048814+00:00,,True
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/More_than_one_AI_robotics_hospital.sql,More_than_one_AI_robotics_hospital.sql,.sql,sql,2.35,2025-03-09T06:50:56.702669+00:00,2025-03-09T06:50:56.702923+00:00,,True
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/Medicaid_Expansion_status.sql,Medicaid_Expansion_status.sql,.sql,sql,0.8,2025-02-09T09:28:31.965313+00:00,2025-02-09T09:28:31.965648+00:00,,True
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/Create_View_IRR_Mortality.sql,Create_View_IRR_Mortality.sql,.sql,sql,0.41,2025-01-19T05:45:49.271268+00:00,2025-01-19T05:45:49.271630+00:00,,True
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/PG_Truncate_All_Tables.sql,PG_Truncate_All_Tables.sql,.sql,sql,0.46,2024-12-26T07:51:58.847228+00:00,2024-12-26T07:51:58.847472+00:00,,True
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/robohos_mean_median_by_county.sql,robohos_mean_median_by_county.sql,.sql,sql,0.76,2025-01-31T07:47:43.308235+00:00,2025-01-31T07:53:37.831052+00:00,,True
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/Update_tblProviders_with_USPTO.sql,Update_tblProviders_with_USPTO.sql,.sql,sql,0.29,2024-12-05T21:36:37+00:00,2024-12-01T20:56:22+00:00,,True
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/Select_from_FTC_Table.txt,Select_from_FTC_Table.txt,.txt,text,0.0,2024-12-23T07:07:27+00:00,2024-12-21T22:05:38+00:00,,False
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/capex_sq_ft_mortality.sql,capex_sq_ft_mortality.sql,.sql,sql,0.48,2025-02-07T07:03:09.797791+00:00,2025-02-07T07:03:09.798102+00:00,,True
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/medicaid_expansion_comparison.sql,medicaid_expansion_comparison.sql,.sql,sql,0.36,2025-01-27T02:31:52.535243+00:00,2025-01-27T02:31:52.535640+00:00,,True
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/Select_AI_vs_CDC_Wonder.sql,Select_AI_vs_CDC_Wonder.sql,.sql,sql,0.63,2025-02-03T09:00:24.286536+00:00,2025-02-03T09:00:24.286925+00:00,,True
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/Select_Alaska_Data.sql,Select_Alaska_Data.sql,.sql,sql,0.28,2025-01-05T00:18:31.609041+00:00,2025-01-05T00:18:31.609325+00:00,,True
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/SELECT_AHA_key_fields.sql,SELECT_AHA_key_fields.sql,.sql,sql,1.17,2025-02-07T20:36:59.768159+00:00,2025-02-07T20:36:59.768384+00:00,,True
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/Fix_missing_zero_FIPS.sql,Fix_missing_zero_FIPS.sql,.sql,sql,0.3,2025-01-05T06:57:47.197568+00:00,2025-01-05T09:20:27.036754+00:00,,True
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/CREATE_view_uninsured.sql,CREATE_view_uninsured.sql,.sql,sql,0.4,2025-01-26T20:46:06.487153+00:00,2025-01-26T20:46:51.344534+00:00,,True
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/Calculate_AIscore.sql,Calculate_AIscore.sql,.sql,sql,0.69,2025-01-30T23:01:36.485120+00:00,2025-01-30T23:04:19.315132+00:00,,True
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/Select_Geolocation_Data.sql,Select_Geolocation_Data.sql,.sql,sql,1.1,2025-06-15T07:31:38.510331+00:00,2025-06-15T07:34:18.946018+00:00,,True
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/AI_Robotics_Yes_Answers.sql,AI_Robotics_Yes_Answers.sql,.sql,sql,0.71,2025-05-18T17:35:17.027760+00:00,2025-05-18T17:35:17.028028+00:00,,True
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/Select_IRR_Mortality_for_Regression.sql,Select_IRR_Mortality_for_Regression.sql,.sql,sql,0.45,2024-12-28T19:51:10.038551+00:00,2024-12-28T19:51:10.038828+00:00,,True
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/IRR_vs_Insurance.sql,IRR_vs_Insurance.sql,.sql,sql,0.59,2025-01-05T06:47:10.927299+00:00,2025-01-05T09:20:16.708085+00:00,,True
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/Populate_tblProviders_Census_Data.sql,Populate_tblProviders_Census_Data.sql,.sql,sql,1.12,2024-12-05T21:36:37+00:00,2024-12-02T06:23:14+00:00,,True
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/Update_Providers_Table_Rurality.sql,Update_Providers_Table_Rurality.sql,.sql,sql,0.81,2024-12-05T21:36:37+00:00,2024-12-01T18:54:30+00:00,,True
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/States_and_Territories.sql,States_and_Territories.sql,.sql,sql,0.2,2025-01-04T10:29:09.595586+00:00,2025-01-04T10:29:09.595829+00:00,,True
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/pub_health_spending_mortality.sql,pub_health_spending_mortality.sql,.sql,sql,0.5,2025-01-26T09:17:24.779052+00:00,2025-01-26T09:27:48.849391+00:00,,True
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/Untitled.sql,Untitled.sql,.sql,sql,0.41,2025-01-19T05:35:03.730231+00:00,2025-01-19T05:45:15.057925+00:00,,True
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/AHA_AI_Counts.sql,AHA_AI_Counts.sql,.sql,sql,1.14,2025-02-04T22:50:09.372135+00:00,2025-02-04T22:51:30.108675+00:00,,True
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/CHR_Chunk_3_Equity.sql,CHR_Chunk_3_Equity.sql,.sql,sql,0.6,2025-02-08T21:11:21.553135+00:00,2025-02-08T21:23:13.717276+00:00,,True
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/Create_Table_tblBroadband.sql,Create_Table_tblBroadband.sql,.sql,sql,0.54,2024-12-23T07:07:27+00:00,2024-12-22T08:30:11+00:00,,True
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/LPAD_fips_cdc.sql,LPAD_fips_cdc.sql,.sql,sql,0.16,2025-01-26T23:45:00.937926+00:00,2025-01-26T23:45:00.938175+00:00,,True
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/ETL_Tables.sql,ETL_Tables.sql,.sql,sql,26.21,2024-12-05T21:36:37+00:00,2024-11-30T21:36:15+00:00,,True
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/Join_IRR_and_IHME_mortality.sql,Join_IRR_and_IHME_mortality.sql,.sql,sql,0.43,2024-12-23T07:07:27+00:00,2024-12-23T04:33:02+00:00,,True
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/SELECT_CHR_key_fields.sql,SELECT_CHR_key_fields.sql,.sql,sql,1.15,2025-02-08T07:00:13.518946+00:00,2025-02-08T07:00:13.519272+00:00,,True
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/2023_v_2024.sql,2023_v_2024.sql,.sql,sql,3.26,2025-06-03T19:31:18.575469+00:00,2025-06-03T19:31:18.575623+00:00,,True
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/Mean_IRR_by_APRN.sql,Mean_IRR_by_APRN.sql,.sql,sql,0.63,2025-02-07T10:08:48.363771+00:00,2025-02-07T10:08:48.364100+00:00,,True
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/Health_System_Counts.sql,Health_System_Counts.sql,.sql,sql,0.81,2025-06-21T20:36:13.508445+00:00,2025-06-28T21:02:03.724061+00:00,,True
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/YPLL_AIPW_SQL.sql,YPLL_AIPW_SQL.sql,.sql,sql,1.49,2025-06-29T04:23:16.951673+00:00,2025-06-29T04:23:16.951898+00:00,,True
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/County_Health_Trends_Analysis.sql,County_Health_Trends_Analysis.sql,.sql,sql,3.08,2025-02-02T18:56:36.302512+00:00,2025-02-02T19:22:51.355525+00:00,,True
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/County_Health_Rankings_Table.sql,County_Health_Rankings_Table.sql,.sql,sql,30.45,2025-01-02T06:17:28+00:00,2025-01-02T06:15:34+00:00,,True
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/Update_SCI_Score.sql,Update_SCI_Score.sql,.sql,sql,0.26,2024-12-05T21:36:37+00:00,2024-12-02T06:20:09+00:00,,True
/Users/aaronjohnson/Library/CloudStorage/OneDrive-Personal/Documents/Coursera/Drexel/Dissertation/Code,SQL_Code/IRR_ceamt_regression.sql,IRR_ceamt_regression.sql,.sql,sql,0.67,2025-01-30T22:26:39.804457+00:00,2025-01-30T22:27:52.248073+00:00,,True
