Treatment,Outcome,N,OLS_Beta,OLS_p,OLS_CI_Lower,OLS_CI_Upper,AIPW_ATE,AIPW_p,AIPW_CI_Lower,AIPW_CI_Upper,N_Treated,N_Control
mo1_genai_composite_score,dv15_preventable_stays_rate,3065,-25.12600567,0.2615890298204342,-68.99218066,18.740169308519775,-89.48874552,0.26746506986027946,-247.7122135,86.76390991,571,2494
mo11_ai_automate_routine_tasks_pct,dv15_preventable_stays_rate,3065,-1.436906495,0.021730701356028087,-2.664023312,-0.209789678,-211.7187558,0.003992016,-352.006912,-80.62461399,417,2648
mo12_ai_optimize_workflows_pct,dv15_preventable_stays_rate,3065,-0.828557982,0.18652979929865965,-2.057966492,0.40085052782428865,-81.82073526,0.3872255489021956,-256.6420002,128.9974061363103,453,2612
mo13_ai_predict_patient_demand_pct,dv15_preventable_stays_rate,3065,-0.448097703,0.6136056731222961,-2.187446904,1.291251497479932,-145.0347682,0.099800399,-304.8928268,20.60103354697334,337,2728
mo14_ai_predict_staff_needs_pct,dv15_preventable_stays_rate,3065,-0.149011048,0.8470882575585136,-1.663551532,1.3655294363315824,-126.9203941,0.087824351,-256.5468719,24.520014514750134,318,2747
mo15_ai_staff_scheduling_pct,dv15_preventable_stays_rate,3065,-0.468824987,0.5605339040640016,-2.047524758,1.1098747849070851,-78.90539136,0.33532934131736525,-229.6346855,73.11406316851004,299,2766
sp5_irr_county_value,mo1_genai_composite_score,3132,-1.311954689,0.033387647,-2.52065797,-0.103251407,-0.143432769,0.095808383,-0.340665408,0.029341163,1511,1621
sp5_irr_county_value,mo11_ai_automate_routine_tasks_pct,3132,-59.94665447,0.00326775,-99.89188453,-20.0014244,-2.916896597,0.19161676646706588,-6.937105584,1.2455478325557667,1511,1621
sp5_irr_county_value,mo12_ai_optimize_workflows_pct,3132,-61.21720896,0.001373929,-98.71120889,-23.72320903,-3.37689493,0.1277445109780439,-8.060337644,1.0409793415422193,1511,1621
sp5_irr_county_value,mo13_ai_predict_patient_demand_pct,3132,-52.53236294,0.000543233,-82.303112,-22.76161389,-3.619560267,0.059880239520958084,-7.602999966,0.054156127,1511,1621
sp5_irr_county_value,mo14_ai_predict_staff_needs_pct,3132,-47.75556377,0.000918038,-75.99478371,-19.51634382,-3.822395478,0.035928144,-8.202431973,-0.346165885,1511,1621
sp5_irr_county_value,mo15_ai_staff_scheduling_pct,3132,-37.06192342,0.002853403,-61.41240407,-12.71144277,-2.74625493,0.2275449101796407,-6.980826826,1.0214752461571786,1511,1621
mo2_robotics_composite_score,dv15_preventable_stays_rate,3065,-5.11826118,0.4354679363058074,-17.98145547,7.744933110165104,-181.1108184,0.011976047904191617,-320.5838106,-43.37638075,937,2128
mo21_robotics_in_hospital_pct,dv15_preventable_stays_rate,3065,-0.269899176,0.6306667708248285,-1.370159647,0.8303612952008541,-57.46117152,0.5109780439121756,-190.8707413,81.01136217219647,774,2291
