Family,Test,N,Beta,p,CI_lower,CI_upper,Q_FDR,Note
CAPEX intensity (FI1/FI2),log1p_CAPEX_Intensity_Winsor -> MO2_Robotics,1508,0.43628141461611125,1.3087397509439794e-08,0.2858666554245481,0.5866961738076744,3.926219252831938e-08,fi_capex_intensity_ratio_log1p
CAPEX intensity (FI1/FI2),CAPEX_Intensity_Raw -> MO2_Robotics,1508,0.0004533440871729562,0.07418320051122455,-4.430202851635266e-05,0.000950990202862265,0.07418320051122455,fi_capex_intensity_ratio
CAPEX intensity (FI1/FI2),log1p_CAPEX_Intensity_Winsor -> MO1_GenAI,1508,0.06741491804663155,0.03447533047575513,0.004925997592858236,0.12990383850040488,0.10342599142726538,fi_capex_intensity_ratio_log1p
CAPEX intensity (FI1/FI2),CAPEX_Intensity_Winsor01_99 -> MO1_GenAI,1508,0.00021437483134820304,0.16565084585331857,-8.87071198675377e-05,0.0005174567825639438,0.24847626877997786,fi_capex_intensity_ratio_w
CAPEX intensity (FI1/FI2),CAPEX_Intensity_Raw -> MO1_GenAI,1508,3.4839792546538905e-05,0.3912500140170013,-4.480624093833415e-05,0.00011448582603141196,0.3912500140170013,fi_capex_intensity_ratio
CAPEX intensity (FI1/FI2),log1p_CAPEX_Intensity_Winsor -> DV21_YPLL,1504,-133.10235549073042,0.006295973399223181,-228.5928815794972,-37.61182940196363,0.010335864761589672,fi_capex_intensity_ratio_log1p
CAPEX intensity (FI1/FI2),CAPEX_Intensity_Winsor01_99 -> DV21_YPLL,1504,-0.7394089575908478,0.0068905765077264475,-1.275740696026047,-0.20307721915564858,0.010335864761589672,fi_capex_intensity_ratio_w
CAPEX intensity (FI1/FI2),CAPEX_Intensity_Raw -> DV21_YPLL,1504,-0.2107287852711861,0.15883838577137943,-0.5038615172691676,0.08240394672679546,0.15883838577137943,fi_capex_intensity_ratio
CAPEX intensity (FI1/FI2),log1p_CAPEX_Intensity_Winsor -> DV2_Health_Outcomes,1508,-66.7892889680653,0.005407952376729585,-113.84895698763208,-19.729620948498543,0.009699161189793996,fi_capex_intensity_ratio_log1p
CAPEX intensity (FI1/FI2),CAPEX_Intensity_Winsor01_99 -> DV2_Health_Outcomes,1508,-0.37168744904931406,0.006466107459862663,-0.6392055087144376,-0.10416938938419051,0.009699161189793996,fi_capex_intensity_ratio_w
CAPEX intensity (FI1/FI2),CAPEX_Intensity_Raw -> DV2_Health_Outcomes,1508,-0.10634676861681791,0.15546314865969282,-0.2530812499153713,0.040387712681735494,0.15546314865969282,fi_capex_intensity_ratio
CAPEX intensity (FI1/FI2),CAPEX_Intensity_Winsor01_99 -> MO2_Robotics,1508,0.002072683696329253,0.0002588859431540512,0.0009607084082753118,0.0031846589843831942,0.0003883289147310768,fi_capex_intensity_ratio_w
Dissertation Direct Effects,mo21_robotics_in_hospital_pct -> dv15_preventable_stays_rate,3065,-57.461171519673826,0.5109780439121756,-190.87074130871636,81.01136217219647,,"AIPW (N_t=774, N_c=2291)"
Dissertation Direct Effects,mo1_genai_composite_score -> dv15_preventable_stays_rate,3065,-89.48874551606377,0.26746506986027946,-247.7122135055167,86.7639099096343,,"AIPW (N_t=571, N_c=2494)"
Dissertation Direct Effects,sp5_irr_county_value -> mo15_ai_staff_scheduling_pct,3132,-2.746254930005904,0.2275449101796407,-6.980826826114789,1.0214752461571786,,"AIPW (N_t=1511, N_c=1621)"
Dissertation Direct Effects,sp5_irr_county_value -> mo14_ai_predict_staff_needs_pct,3132,-3.822395478495001,0.03592814371257485,-8.202431973107798,-0.34616588501549217,,"AIPW (N_t=1511, N_c=1621)"
Dissertation Direct Effects,sp5_irr_county_value -> mo13_ai_predict_patient_demand_pct,3132,-3.619560267448618,0.059880239520958084,-7.602999966000734,0.05415612712048008,,"AIPW (N_t=1511, N_c=1621)"
Dissertation Direct Effects,sp5_irr_county_value -> mo11_ai_automate_routine_tasks_pct,3132,-2.9168965973570087,0.19161676646706588,-6.937105584018027,1.2455478325557667,,"AIPW (N_t=1511, N_c=1621)"
Dissertation Direct Effects,sp5_irr_county_value -> mo1_genai_composite_score,3132,-0.14343276856143572,0.09580838323353294,-0.3406654081365296,0.02934116321124952,,"AIPW (N_t=1511, N_c=1621)"
Dissertation Direct Effects,sp5_irr_county_value -> mo12_ai_optimize_workflows_pct,3132,-3.376894929746129,0.1277445109780439,-8.060337643691037,1.0409793415422193,,"AIPW (N_t=1511, N_c=1621)"
Dissertation Direct Effects,mo14_ai_predict_staff_needs_pct -> dv15_preventable_stays_rate,3065,-126.92039408586515,0.08782435129740519,-256.54687191075186,24.520014514750134,,"AIPW (N_t=318, N_c=2747)"
