county_fips,num_hotspot_hospitals_in_range,state_fips,county_name
04013,1,04,Maricopa
04021,1,04,Pinal
04025,1,04,Yavapai
06029,1,06,Kern
06107,1,06,Tulare
08001,3,08,Adams
08013,4,08,Boulder
08014,3,08,Broomfield
08035,1,08,Douglas
08039,1,08,Elbert
08041,1,08,El Paso
08043,1,08,Fremont
08069,4,08,Larimer
08093,1,08,Park
08101,1,08,Pueblo
08119,1,08,Teller
08123,4,08,Weld
09120,9,09,Greater Bridgeport
09140,2,09,Naugatuck Valley
09170,3,09,South Central Connecticut
09190,10,09,Western Connecticut
10003,1,10,New Castle
12011,1,12,Broward
12086,2,12,Miami-Dade
12087,2,12,Monroe
13013,2,13,Barrow
13015,4,13,Bartow
13045,2,13,Carroll
13057,4,13,Cherokee
13063,4,13,Clayton
13067,4,13,Cobb
13077,2,13,Coweta
13085,1,13,Dawson
13089,4,13,DeKalb
13097,4,13,Douglas
13113,2,13,Fayette
13115,1,13,Floyd
13117,4,13,Forsyth
13121,4,13,Fulton
13129,1,13,Gordon
13135,4,13,Gwinnett
13139,2,13,Hall
13143,2,13,Haralson
13151,4,13,Henry
13157,1,13,Jackson
13217,2,13,Newton
13223,4,13,Paulding
13227,2,13,Pickens
13233,2,13,Polk
13247,3,13,Rockdale
13297,2,13,Walton
16031,2,16,Cassia
16039,1,16,Elmore
16047,2,16,Gooding
16053,2,16,Jerome
16063,2,16,Lincoln
16067,2,16,Minidoka
16073,2,16,Owyhee
16083,2,16,Twin Falls
17011,2,17,Bureau
17019,3,17,Champaign
17037,1,17,DeKalb
17039,2,17,De Witt
17041,1,17,Douglas
17045,1,17,Edgar
17053,3,17,Ford
17057,1,17,Fulton
17063,1,17,Grundy
17075,2,17,Iroquois
17089,1,17,Kane
17093,1,17,Kendall
17095,1,17,Knox
17099,3,17,LaSalle
17103,1,17,Lee
17105,4,17,Livingston
17107,2,17,Logan
17113,4,17,McLean
17123,3,17,Marshall
17125,1,17,Mason
17143,2,17,Peoria
17147,2,17,Piatt
17155,3,17,Putnam
17175,2,17,Stark
17179,3,17,Tazewell
17183,2,17,Vermilion
17197,1,17,Will
17203,3,17,Woodford
18007,1,18,Benton
18045,1,18,Fountain
18107,1,18,Montgomery
18121,1,18,Parke
18141,1,18,St. Joseph
18157,1,18,Tippecanoe
18165,1,18,Vermillion
18171,1,18,Warren
20045,3,20,Douglas
20091,3,20,Johnson
20103,3,20,Leavenworth
20121,3,20,Miami
20209,3,20,Wyandotte
23001,1,23,Androscoggin
23003,1,23,Aroostook
23007,1,23,Franklin
23009,3,23,Hancock
23011,2,23,Kennebec
23013,1,23,Knox
23015,1,23,Lincoln
23019,5,23,Penobscot
23021,4,23,Piscataquis
23025,4,23,Somerset
23027,4,23,Waldo
26005,2,26,Allegan
26015,2,26,Barry
26019,1,26,Benzie
26021,1,26,Berrien
26027,1,26,Cass
26035,1,26,Clare
26037,1,26,Clinton
26045,2,26,Eaton
26055,1,26,Grand Traverse
26057,1,26,Gratiot
26067,2,26,Ionia
26073,2,26,Isabella
26077,1,26,Kalamazoo
26081,4,26,Kent
26085,3,26,Lake
26101,2,26,Manistee
26105,3,26,Mason
26107,3,26,Mecosta
26113,1,26,Missaukee
26117,4,26,Montcalm
26121,4,26,Muskegon
26123,5,26,Newaygo
26127,3,26,Oceana
26133,1,26,Osceola
26139,4,26,Ottawa
26149,1,26,St. Joseph
26159,1,26,Van Buren
26165,2,26,Wexford
29009,1,29,Barry
29037,3,29,Cass
29043,1,29,Christian
29047,3,29,Clay
29049,3,29,Clinton
29057,1,29,Dade
29059,1,29,Dallas
29067,1,29,Douglas
29077,1,29,Greene
29095,3,29,Jackson
29101,3,29,Johnson
29107,3,29,Lafayette
29109,1,29,Lawrence
29165,3,29,Platte
29167,1,29,Polk
29177,3,29,Ray
29209,1,29,Stone
29213,1,29,Taney
29225,1,29,Webster
34001,1,34,Atlantic
34003,15,34,Bergen
34005,12,34,Burlington
34007,1,34,Camden
34011,1,34,Cumberland
34013,16,34,Essex
34015,1,34,Gloucester
34017,16,34,Hudson
34019,10,34,Hunterdon
34021,16,34,Mercer
34023,16,34,Middlesex
34025,18,34,Monmouth
34027,13,34,Morris
34029,13,34,Ocean
34031,15,34,Passaic
34033,1,34,Salem
34035,12,34,Somerset
34037,5,34,Sussex
34039,15,34,Union
34041,3,34,Warren
36005,11,36,Bronx
36027,1,36,Dutchess
36047,18,36,Kings
36059,15,36,Nassau
36061,16,36,New York
36071,3,36,Orange
36079,3,36,Putnam
36081,18,36,Queens
36085,18,36,Richmond
36087,7,36,Rockland
36103,10,36,Suffolk
36119,11,36,Westchester
37007,1,37,Anson
37025,1,37,Cabarrus
37035,1,37,Catawba
37071,1,37,Gaston
37097,1,37,Iredell
37109,1,37,Lincoln
37119,1,37,Mecklenburg
37159,1,37,Rowan
37167,1,37,Stanly
37179,1,37,Union
39005,2,39,Ashland
39007,4,39,Ashtabula
39031,1,39,Coshocton
39035,15,39,Cuyahoga
39043,3,39,Erie
39055,14,39,Geauga
39075,1,39,Holmes
39077,4,39,Huron
39083,1,39,Knox
39085,15,39,Lake
39093,16,39,Lorain
39103,16,39,Medina
39133,14,39,Portage
39139,1,39,Richland
39151,2,39,Stark
39153,16,39,Summit
39155,5,39,Trumbull
39157,1,39,Tuscarawas
39169,4,39,Wayne
42003,4,42,Allegheny
42005,4,42,Armstrong
42007,4,42,Beaver
42017,7,42,Bucks
42019,4,42,Butler
42027,1,42,Centre
42029,1,42,Chester
42035,1,42,Clinton
42037,1,42,Columbia
42043,1,42,Dauphin
42045,1,42,Delaware
42051,4,42,Fayette
42059,1,42,Greene
42063,4,42,Indiana
42067,1,42,Juniata
42073,1,42,Lawrence
42075,1,42,Lebanon
42079,1,42,Luzerne
42081,1,42,Lycoming
42091,1,42,Montgomery
42093,1,42,Montour
42097,1,42,Northumberland
42101,1,42,Philadelphia
42107,1,42,Schuylkill
42109,1,42,Snyder
42113,1,42,Sullivan
42119,1,42,Union
42125,4,42,Washington
42129,4,42,Westmoreland
45025,1,45,Chesterfield
45057,1,45,Lancaster
45091,1,45,York
48039,1,48,Brazoria
48071,1,48,Chambers
48157,1,48,Fort Bend
48167,1,48,Galveston
48201,1,48,Harris
48339,1,48,Montgomery
48473,1,48,Waller
49001,2,49,Beaver
49003,1,49,Box Elder
49005,1,49,Cache
49007,1,49,Carbon
49011,3,49,Davis
49015,1,49,Emery
49017,2,49,Garfield
49021,2,49,Iron
49023,4,49,Juab
49027,3,49,Millard
49029,4,49,Morgan
49031,2,49,Piute
49033,1,49,Rich
49035,6,49,Salt Lake
49039,2,49,Sanpete
49041,3,49,Sevier
49043,5,49,Summit
49045,6,49,Tooele
49049,6,49,Utah
49051,6,49,Wasatch
49057,1,49,Weber
51003,1,51,Albemarle
51043,1,51,Clarke
51047,2,51,Culpeper
51061,2,51,Fauquier
51069,1,51,Frederick
51079,2,51,Greene
51109,1,51,Louisa
51113,2,51,Madison
51137,1,51,Orange
51139,2,51,Page
51153,1,51,Prince William
51157,2,51,Rappahannock
51165,2,51,Rockingham
51171,1,51,Shenandoah
51177,1,51,Spotsylvania
51179,1,51,Stafford
51187,2,51,Warren
51630,1,51,Fredericksburg
51840,1,51,Winchester
54009,3,54,Brooke
54023,1,54,Grant
54027,1,54,Hampshire
54029,3,54,Hancock
54031,1,54,Hardy
