analysis,predictor,outcome,beta,r_squared,p_value,n_obs,significance
System vs. Independent,is_in_system,robohos,0.19056422664485942,0.029710583211832287,2.632498543598723e-26,3736.0,***
System vs. Independent,is_in_system,robosys,0.24869365685205752,0.07563645775272898,8.008881347252403e-66,3736.0,***
System vs. Independent,is_in_system,roboven,0.0011984278444202327,2.383582186127331e-05,0.7654624202982082,3736.0,
System vs. Independent,is_in_system,wfaiart,0.22538458795703972,0.05252603010477175,2.3723507541424103e-34,2771.0,***
System vs. Independent,is_in_system,wfaiss,0.1817576749216571,0.04426919623310155,4.255828896375276e-29,2771.0,***
System vs. Independent,is_in_system,wfaipsn,0.2406083152082776,0.0690820345522698,5.209779457496477e-45,2771.0,***
System vs. Independent,is_in_system,wfaippd,0.2380377925595497,0.06619867185921069,3.850073329587521e-43,2771.0,***
System vs. Independent,is_in_system,wfaioacw,0.22019666182011327,0.04681499226278274,1.0309788242292073e-30,2771.0,***
System vs. Independent,is_in_system,robotics_adoption_score,0.32447927791665043,0.060566012828483506,9.741582031894569e-86,6166.0,***
System vs. Independent,is_in_system,ai_adoption_score,0.5725378755077821,0.0429981209676763,7.276674810109192e-61,6166.0,***
System Size vs. Tech,system_size,robohos,-0.001322581604990556,0.013243644612351613,2.1826370989256517e-09,2688.0,***
System Size vs. Tech,system_size,robosys,-0.0019293762478065006,0.03508023824890805,1.2082654785354793e-22,2688.0,***
System Size vs. Tech,system_size,roboven,3.3069918494697554e-05,0.00016573659803564844,0.5046603341448355,2688.0,
System Size vs. Tech,system_size,wfaiart,-0.0031662283199438736,0.07343597636373689,2.2791611799992554e-35,2022.0,***
System Size vs. Tech,system_size,wfaiss,-0.000922387828403679,0.00766124026951398,8.114399996314512e-05,2022.0,***
System Size vs. Tech,system_size,wfaipsn,-0.0014283108831591193,0.016279767571485304,8.542358399873693e-09,2022.0,***
System Size vs. Tech,system_size,wfaippd,-0.0021812012353350767,0.03750783527936541,1.5416204162002738e-18,2022.0,***
System Size vs. Tech,system_size,wfaioacw,-0.003023200248861593,0.06414094277208138,5.822586442000992e-31,2022.0,***
System Size vs. Tech,system_size,robotics_adoption_score,-0.0031001234453270467,0.05207322894381439,1.9220731700452108e-50,4174.0,***
System Size vs. Tech,system_size,ai_adoption_score,-0.006840730066414512,0.05207060608502412,1.9332473844410696e-50,4174.0,***
System Size vs. CAPEX,system_size,capex_per_sqft,-0.1358472215922618,0.0014496065848553785,0.08807034583743677,2008.0,
Patient Volume vs. Tech,adjpd,robohos,1.7977329852000987e-06,0.22693521082834078,5.45192410198013e-211,3736.0,***
Patient Volume vs. Tech,adjpd,robosys,3.23736039643895e-07,0.011000361357638933,1.3074157085580638e-10,3736.0,***
Patient Volume vs. Tech,adjpd,roboven,-5.034063440102649e-09,3.6096642283101055e-05,0.7135374808923122,3736.0,
Patient Volume vs. Tech,adjpd,wfaiart,7.556213175025467e-07,0.059770617785207314,5.3986627272310796e-39,2771.0,***
Patient Volume vs. Tech,adjpd,wfaiss,4.746638664002757e-07,0.03056621462827358,1.8520923402645498e-20,2771.0,***
Patient Volume vs. Tech,adjpd,wfaipsn,5.913051628016709e-07,0.042239657759078675,8.213052973396411e-28,2771.0,***
Patient Volume vs. Tech,adjpd,wfaippd,6.875278290641724e-07,0.05591022049171057,1.6229115175139962e-36,2771.0,***
Patient Volume vs. Tech,adjpd,wfaioacw,9.365836616856747e-07,0.0857452049388353,6.457765814896535e-56,2771.0,***
Patient Volume vs. Tech,adjpd,robotics_adoption_score,2.30779162073181e-06,0.17758609845133455,4.905752265742601e-264,6166.0,***
Patient Volume vs. Tech,adjpd,ai_adoption_score,3.4982527407830346e-06,0.09304737597594337,6.276210871639551e-133,6166.0,***
