dv_code,dv_column,iv_code,iv_column,moderator,beta_interaction,p_value,ci_low,ci_high,n_obs,fit_error
DV21,premature_death_raw_value,IV36,excessive_drinking_raw_value,MO11,378.29549836381204,0.0007073974646545092,159.3666161789883,597.2243805486357,3080,0
DV21,premature_death_raw_value,IV36,excessive_drinking_raw_value,MO12,323.394830633868,0.004380177242578535,100.94722055944493,545.8424407082912,3080,0
DV21,premature_death_raw_value,IV36,excessive_drinking_raw_value,MO13,400.19338112457547,0.015012471193095778,77.68538915742215,722.7013730917288,3080,0
DV21,premature_death_raw_value,IV38,sexually_transmitted_infections_raw_value,MO12,-0.026961152542982775,0.018283526466700194,-0.049353861212238455,-0.004568443873727096,2967,0
DV21,premature_death_raw_value,IV36,excessive_drinking_raw_value,MO14,395.26608602951706,0.024825427742263904,50.047783071715116,740.484388987319,3080,0
DV21,premature_death_raw_value,IV32,adult_obesity_raw_value,MO11,-118.90197654007555,0.027679308500893667,-224.74419478005916,-13.059758300091929,3080,0
DV21,premature_death_raw_value,IV37,alcohol_impaired_driving_deaths_raw_value,MO12,-37.99867744957269,0.030389470093863124,-72.39906589569185,-3.598289003453523,3065,0
DV21,premature_death_raw_value,IV31,adult_smoking_raw_value,MO12,-124.40506027516008,0.05066495582652317,-249.17024499288436,0.3601244425642136,3080,0
DV21,premature_death_raw_value,IV38,sexually_transmitted_infections_raw_value,MO13,-0.024708802173767495,0.05620189854081214,-0.05007104568126118,0.0006534413337261902,2967,0
DV21,premature_death_raw_value,IV33,food_environment_index_raw_value,MO13,-5.60514990937734,0.05982339934092609,-11.442211291473637,0.2319114727189575,3048,0
DV21,premature_death_raw_value,IV36,excessive_drinking_raw_value,MO15,314.64023045976313,0.07013716676662546,-25.87628727432144,655.1567481938478,3080,0
DV21,premature_death_raw_value,IV31,adult_smoking_raw_value,MO11,-119.80367923823073,0.0800766886213552,-253.96283733475494,14.35547885829348,3080,0
DV21,premature_death_raw_value,IV37,alcohol_impaired_driving_deaths_raw_value,MO13,-29.208210782474623,0.10477534393692534,-64.49947155743939,6.083049992490139,3065,0
DV21,premature_death_raw_value,IV33,food_environment_index_raw_value,MO14,-5.247943480790827,0.1401822965370812,-12.220821899051112,1.7249349374694578,3048,0
DV21,premature_death_raw_value,IV38,sexually_transmitted_infections_raw_value,MO11,-0.020179298555226655,0.15261720348908497,-0.047830403136072036,0.007471806025618723,2967,0
DV21,premature_death_raw_value,IV32,adult_obesity_raw_value,MO12,-72.16268993387939,0.1544179586263021,-171.47904524696384,27.153665379205037,3080,0
DV21,premature_death_raw_value,IV32,adult_obesity_raw_value,MO13,-86.53591990370981,0.15545805483235925,-205.93444015402432,32.862600346604694,3080,0
DV21,premature_death_raw_value,IV31,adult_smoking_raw_value,MO14,-90.12779611717426,0.18571535009381024,-223.6115790670795,43.35598683273099,3080,0
DV21,premature_death_raw_value,IV34,physical_inactivity_raw_value,MO11,-67.30030385352033,0.19883023114876763,-169.9596960006116,35.359088293570906,3080,0
DV21,premature_death_raw_value,IV39,teen_births_raw_value,MO11,-0.29030229523143636,0.23427278845709776,-0.7686699376715631,0.18806534720869034,2919,0
DV21,premature_death_raw_value,IV31,adult_smoking_raw_value,MO15,-82.73505090263714,0.2359183228999645,-219.54805957402243,54.07795776874815,3080,0
DV21,premature_death_raw_value,IV31,adult_smoking_raw_value,MO13,-82.58966471630742,0.24348880069594014,-221.38008470115616,56.200755268541315,3080,0
DV21,premature_death_raw_value,IV37,alcohol_impaired_driving_deaths_raw_value,MO11,-21.587463270538976,0.2543932703164029,-58.71042882711977,15.535502286041819,3065,0
DV21,premature_death_raw_value,IV32,adult_obesity_raw_value,MO14,-59.826179015930634,0.2810381763276568,-168.6000506103308,48.94769257846953,3080,0
DV21,premature_death_raw_value,IV33,food_environment_index_raw_value,MO12,-2.424846738373219,0.3740869777429907,-7.771806158503916,2.9221126817574783,3048,0
DV21,premature_death_raw_value,IV38,sexually_transmitted_infections_raw_value,MO14,-0.009718389792581729,0.40402170155849193,-0.032544755624513345,0.013107976039349887,2967,0
DV21,premature_death_raw_value,IV32,adult_obesity_raw_value,MO15,-42.37233167206446,0.4319700638412458,-148.05521559393918,63.31055224981024,3080,0
DV21,premature_death_raw_value,IV39,teen_births_raw_value,MO15,-0.17819165262806824,0.4435526643418328,-0.6340069271507177,0.27762362189458123,2919,0
DV21,premature_death_raw_value,IV38,sexually_transmitted_infections_raw_value,MO15,-0.008285208870407531,0.47507375565078347,-0.03102060031719208,0.014450182576377016,2967,0
DV21,premature_death_raw_value,IV34,physical_inactivity_raw_value,MO12,-34.339666990066306,0.4894161510028967,-131.7077745404821,63.02844056034948,3080,0
DV21,premature_death_raw_value,IV37,alcohol_impaired_driving_deaths_raw_value,MO14,-13.486210038598898,0.4952755723789696,-52.246812338437856,25.27439226124006,3065,0
DV21,premature_death_raw_value,IV35,access_to_exercise_opportunities_raw_value,MO14,7.330486551757881,0.5122500315216139,-14.593292102332326,29.254265205848085,3047,0
DV21,premature_death_raw_value,IV35,access_to_exercise_opportunities_raw_value,MO13,-8.397030721429589,0.5277924499864226,-34.46357092040806,17.66950947754888,3047,0
DV21,premature_death_raw_value,IV37,alcohol_impaired_driving_deaths_raw_value,MO15,-13.029836004353545,0.5432682096924981,-55.04155177672048,28.981879768013396,3065,0
DV21,premature_death_raw_value,IV35,access_to_exercise_opportunities_raw_value,MO11,4.912191998664504,0.5632891057825018,-11.745828587365413,21.57021258469442,3047,0
DV21,premature_death_raw_value,IV39,teen_births_raw_value,MO13,0.18059192504795357,0.5773277664337356,-0.45453922160955035,0.8157230717054575,2919,0
DV21,premature_death_raw_value,IV35,access_to_exercise_opportunities_raw_value,MO12,-2.9525693254426004,0.755011505262252,-21.498150785095508,15.593012134210309,3047,0
DV21,premature_death_raw_value,IV33,food_environment_index_raw_value,MO11,0.5251394241313663,0.8077095994503277,-3.7038297453809803,4.754108593643712,3048,0
DV21,premature_death_raw_value,IV34,physical_inactivity_raw_value,MO13,-14.316156600429139,0.8200190174971165,-137.64196360819378,109.0096504073355,3080,0
DV21,premature_death_raw_value,IV35,access_to_exercise_opportunities_raw_value,MO15,1.1683128983248707,0.9046236883191932,-17.942033857023713,20.278659653673454,3047,0
DV21,premature_death_raw_value,IV39,teen_births_raw_value,MO12,-0.029682038491290585,0.9098720632633002,-0.5436022703692122,0.484238193386631,2919,0
DV21,premature_death_raw_value,IV33,food_environment_index_raw_value,MO15,-0.28909167201848174,0.9137616569512176,-5.521180465416317,4.942997121379354,3048,0
DV21,premature_death_raw_value,IV39,teen_births_raw_value,MO14,0.027040221395091258,0.9283508335126307,-0.5623491686100262,0.6164296114002086,2919,0
DV21,premature_death_raw_value,IV34,physical_inactivity_raw_value,MO14,-5.276109202777278,0.9288288413840096,-121.05269766668647,110.50047926113191,3080,0
DV21,premature_death_raw_value,IV34,physical_inactivity_raw_value,MO15,-2.519257164707085,0.9610775770446973,-103.69780232027111,98.65928799085694,3080,0
