Covariate,Mean (T=1),Mean (T=0),Diff,SMD (Unweighted),SMD (IPTW)
medicaid_expansion_active,0.581,0.505,0.076,0.153,0.065
physical_environment_score,2.311,2.149,0.162,0.359,0.087
health_behaviors_score,36.207,32.696,3.511,0.171,-0.043
social_economic_factors_score,12.399,14.157,-1.758,-0.500,-0.032
log_population,11.578,9.814,1.764,1.353,0.195
is_rural,0.154,0.593,-0.439,-1.019,-0.147
division_2,0.079,0.037,0.042,0.178,0.034
division_3,0.207,0.180,0.027,0.068,-0.030
division_4,0.190,0.122,0.068,0.189,0.040
division_5,0.082,0.127,-0.045,-0.147,0.047
division_6,0.140,0.216,-0.076,-0.200,-0.035
division_7,0.109,0.164,-0.055,-0.161,-0.009
division_8,0.086,0.091,-0.004,-0.015,-0.043
division_9,0.082,0.044,0.039,0.160,0.047
division_Unknown,0.006,0.001,0.005,0.081,0.052
hospital_beds_per_capita,2.807,2.684,0.123,0.032,0.009
